,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.0,1.0,2.0,3.002,4.036,5.116,6.264,7.49,8.819,10.208,11.616,13.325,14.858,16.958,18.941,21.701,23.97,27.101,31.27,35.525,42.053,49.432,57.476,65.084,73.111,80.318,89.224,96.713,104.41,112.491,119.885
1,0.0,0.0,1.0,2.001,3.042,4.116,5.28,6.509,7.821,9.202,10.631,12.27,14.028,16.061,18.142,20.632,23.068,26.341,29.941,34.346,41.082,48.774,56.582,64.762,71.396,79.521,87.336,95.237,103.918,111.6,120.19
2,0.0,0.0,0.0,1.0,2.041,3.145,4.305,5.484,6.859,8.115,9.711,11.358,13.139,15.069,17.096,19.34,22.192,25.381,29.414,33.914,40.077,47.591,55.798,63.079,70.648,78.698,87.475,94.69,100.567,110.293,118.056
3,0.0,0.0,0.0,0.0,1.03,2.118,3.263,4.518,5.811,7.14,8.768,10.358,12.017,14.136,16.221,18.583,21.294,24.575,28.042,32.76,39.001,46.852,53.75,62.252,69.586,79.093,84.846,95.229,100.638,108.708,116.609
4,0.0,0.0,0.0,0.0,0.0,1.092,2.203,3.485,4.787,6.122,7.589,9.164,11.039,12.964,15.0,17.583,20.271,23.32,27.098,31.519,37.911,45.266,54.176,61.6,69.467,76.489,83.389,91.894,99.604,109.093,116.449
5,0.0,0.0,0.0,0.0,0.0,0.0,1.161,2.351,3.688,5.096,6.481,8.296,10.034,11.861,13.964,16.559,19.465,22.385,25.987,30.681,36.745,43.943,51.616,60.513,67.58,75.151,84.073,91.812,99.915,106.345,115.461
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.223,2.56,3.964,5.451,7.112,8.804,10.837,12.817,15.318,18.154,21.219,24.618,29.882,35.609,42.649,51.258,59.457,66.251,74.453,82.594,90.43,98.393,106.387,113.844
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.318,2.681,4.108,5.833,7.602,9.54,11.598,13.914,16.818,19.786,23.593,28.241,34.278,41.95,50.133,57.947,65.717,73.363,81.63,89.064,96.234,104.187,112.296
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.404,2.927,4.492,6.251,8.18,10.501,12.924,15.232,18.485,22.602,26.438,33.248,40.68,48.644,56.042,64.616,72.708,80.003,86.868,95.928,102.329,109.36
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.537,3.105,4.86,6.853,8.912,11.283,14.064,17.553,21.105,26.118,31.46,39.462,47.128,54.99,63.14,70.016,78.428,86.037,93.438,100.748,109.712
